#{"t_start": 1707792798.1131709, "env_id": "CartPole-v1"}
r,l,t
27.0,27,0.094102
16.0,16,0.114886
15.0,15,0.147403
40.0,40,0.206135
12.0,12,0.228889
29.0,29,0.260771
12.0,12,0.267344
12.0,12,0.285964
12.0,12,0.292441
24.0,24,0.352324
15.0,15,0.360593
26.0,26,0.390787
17.0,17,0.424131
11.0,11,0.430197
34.0,34,0.465363
19.0,19,0.491911
35.0,35,0.527215
59.0,59,0.592234
10.0,10,0.613872
15.0,15,0.621971
52.0,52,0.691275
13.0,13,0.698789
32.0,32,0.732318
13.0,13,0.759685
12.0,12,0.766225
42.0,42,0.789616
17.0,17,0.798865
14.0,14,0.806568
23.0,23,0.818935
17.0,17,0.828094
14.0,14,0.835758
24.0,24,0.849111
23.0,23,0.861568
21.0,21,0.872899
23.0,23,0.885479
9.0,9,0.890383
14.0,14,0.898492
11.0,11,0.90451
15.0,15,0.912723
33.0,33,0.930225
44.0,44,0.987337
30.0,30,1.019886
27.0,27,1.034422
33.0,33,1.089626
18.0,18,1.231224
16.0,16,1.240134
11.0,11,1.246063
19.0,19,1.272584
15.0,15,1.286881
28.0,28,1.325451
20.0,20,1.33595
33.0,33,1.363961
14.0,14,1.37162
29.0,29,1.387171
17.0,17,1.396305
21.0,21,1.407492
36.0,36,1.427732
14.0,14,1.435256
16.0,16,1.443901
22.0,22,1.45643
27.0,27,1.470965
13.0,13,1.478012
12.0,12,1.484537
15.0,15,1.492659
19.0,19,1.502918
15.0,15,1.511052
17.0,17,1.520176
19.0,19,1.531058
12.0,12,1.537661
27.0,27,1.552485
21.0,21,1.564045
13.0,13,1.571122
41.0,41,1.592804
12.0,12,1.599293
14.0,14,1.606858
11.0,11,1.612795
21.0,21,1.624767
10.0,10,1.630277
12.0,12,1.636832
21.0,21,1.648215
17.0,17,1.657423
19.0,19,1.667691
17.0,17,1.676821
24.0,24,1.689741
13.0,13,1.69735
12.0,12,1.703906
15.0,15,1.712067
41.0,41,1.73401
13.0,13,1.741118
37.0,37,1.770216
34.0,34,1.804696
17.0,17,1.814574
19.0,19,1.824962
20.0,20,1.835649
29.0,29,1.859128
41.0,41,1.881046
14.0,14,2.384614
12.0,12,2.391109
33.0,33,2.423114
13.0,13,2.430255
21.0,21,2.441363
17.0,17,2.450537
15.0,15,2.459094
21.0,21,2.470384
40.0,40,2.491968
28.0,28,2.511763
29.0,29,2.544254
22.0,22,2.565697
12.0,12,2.588531
49.0,49,2.623892
24.0,24,2.672199
13.0,13,2.679726
15.0,15,2.704429
35.0,35,2.723308
41.0,41,2.787189
19.0,19,2.798238
19.0,19,2.817747
23.0,23,2.846452
18.0,18,2.865475
12.0,12,2.888123
16.0,16,2.896671
10.0,10,2.915823
13.0,13,2.922829
11.0,11,2.948963
39.0,39,2.969598
13.0,13,3.000979
10.0,10,3.006387
11.0,11,3.027898
45.0,45,3.071603
13.0,13,3.078542
19.0,19,3.102938
14.0,14,3.110568
31.0,31,3.15819
15.0,15,3.166437
14.0,14,3.190147
29.0,29,3.205543
26.0,26,3.219354
18.0,18,3.229498
24.0,24,3.242548
19.0,19,3.252945
13.0,13,3.259943
36.0,36,3.289859
14.0,14,3.297375
10.0,10,3.302741
39.0,39,3.324056
20.0,20,3.360288
14.0,14,3.36771
26.0,26,3.398062
12.0,12,3.414237
16.0,16,3.440795
13.0,13,3.447775
12.0,12,3.456784
15.0,15,3.464842
23.0,23,3.49324
12.0,12,3.49962
19.0,19,3.50976
21.0,21,3.520981
36.0,36,3.54008
27.0,27,3.555446
31.0,31,3.572047
17.0,17,3.58105
19.0,19,3.591093
11.0,11,3.597021
13.0,13,3.603924
17.0,17,3.612903
15.0,15,3.620865
14.0,14,3.628309
28.0,28,3.644091
14.0,14,3.65164
21.0,21,3.662765
27.0,27,3.701704
23.0,23,3.713971
21.0,21,3.725345
39.0,39,3.745998
25.0,25,3.760104
21.0,21,3.771421
45.0,45,3.795465
37.0,37,3.815147
25.0,25,3.82845
13.0,13,3.835466
19.0,19,3.854568
29.0,29,3.878333
21.0,21,3.889342
12.0,12,3.895646
18.0,18,3.905986
68.0,68,3.952831
12.0,12,3.959501
14.0,14,3.98328
16.0,16,3.991816
23.0,23,4.00426
23.0,23,4.016469
17.0,17,4.620771
12.0,12,4.62746
23.0,23,4.640141
39.0,39,4.661487
12.0,12,4.668079
13.0,13,4.675157
10.0,10,4.680928
44.0,44,4.705207
22.0,22,4.717911
20.0,20,4.745293
31.0,31,4.778251
13.0,13,4.785671
17.0,17,4.811154
32.0,32,4.84462
22.0,22,4.872705
18.0,18,4.882545
13.0,13,4.889546
47.0,47,4.914543
10.0,10,4.920017
28.0,28,4.9362
31.0,31,4.953372
11.0,11,4.959579
13.0,13,4.966764
12.0,12,4.973341
13.0,13,4.980373
13.0,13,4.987505
11.0,11,4.993402
22.0,22,5.00511
