#{"t_start": 1707773610.4748547, "env_id": "LunarLander-v2"}
r,l,t
-77.172311,66,2.401642
-418.142829,100,2.480182
-101.160882,92,2.551925
-159.488291,99,2.630746
-203.432813,81,2.693316
-124.755777,125,2.796185
-349.668934,93,2.867803
-222.251744,67,2.919535
-99.711804,75,2.978485
-160.243064,140,3.089898
-135.250354,118,3.447271
-109.865489,100,3.525748
-379.37797,90,3.598307
-94.078858,74,3.654994
-103.396432,77,3.715745
-124.289685,102,3.799349
-61.894308,93,3.873872
-399.404501,132,3.981167
-389.245943,100,4.062549
-89.646794,65,4.112661
-133.709974,118,4.216242
-121.554787,79,4.484354
-258.209162,87,4.554399
-233.506464,77,4.614854
-196.598907,71,4.669728
-250.218324,100,4.74888
-309.836808,125,4.85325
-126.551077,103,4.942163
-146.330991,122,5.037356
-172.802598,112,5.124006
-141.407663,116,5.21519
-127.65288,66,5.280425
-60.158381,109,5.570439
-180.171693,108,5.654855
-91.308657,72,5.711084
-80.640811,80,5.776865
-146.286662,97,5.853816
-103.826073,61,5.899983
-78.177116,67,5.950844
-217.475753,72,6.007495
-6.575939,83,6.074703
-193.577309,94,6.149055
-102.564001,71,6.204095
-75.482828,123,6.526419
-256.52298,93,6.600538
-323.528161,115,6.691291
-3.469866,128,6.79709
-105.884606,118,6.88949
-75.546764,76,6.948016
-188.072033,102,7.030306
-108.227297,70,7.083551
-335.286564,99,7.161097
-102.957757,66,7.213217
-94.012223,67,7.279018
-229.740205,91,7.55292
-45.684395,69,7.605728
-105.571384,83,7.669378
-79.533284,87,7.737016
-455.516781,126,7.840667
-77.671427,70,7.895502
-355.825823,97,7.970265
-113.195891,98,8.047313
-89.753149,76,8.105821
-100.734614,71,8.160559
-119.583165,141,8.289073
-82.728521,126,8.590703
-82.496611,76,8.649756
-123.851579,93,8.722307
-292.910437,92,8.798684
-152.551669,92,8.870988
-135.351788,101,8.949232
-231.583217,109,9.036211
-124.706672,108,9.123241
-108.331491,94,9.196241
-178.26695,100,9.289929
-110.978981,82,9.354028
-97.158091,69,9.608545
-137.901526,76,9.667037
-338.277235,145,9.784084
-230.726029,108,9.870614
-408.110773,103,9.950578
-219.827025,115,10.041205
-131.455414,123,10.137272
-277.889381,112,10.224146
-360.613048,155,10.360626
-258.426939,96,10.636319
-318.392961,79,10.697541
-102.993751,70,10.752322
-235.645351,127,10.855632
-103.494435,131,10.9582
-117.371621,90,11.029122
-427.645369,129,11.131154
-90.410785,99,11.207941
-96.08048,102,11.298387
-141.292508,74,11.35745
-93.378807,79,11.420183
-251.048032,81,11.685137
-352.373404,128,11.791512
-60.440772,67,11.845984
-83.017353,112,11.935214
-80.038955,100,12.013806
-272.386337,89,12.083656
-67.075229,82,12.147816
-295.402488,99,12.226826
-135.856894,95,12.31244
-562.840383,110,12.398352
-338.275577,128,12.70297
-284.726442,101,12.786782
-81.353297,71,12.842913
-246.690279,78,12.90345
-406.542618,119,12.996323
-45.035732,68,13.050686
-105.15599,71,13.105597
-318.127361,113,13.1943
-200.084527,165,13.339873
-103.127224,64,13.388783
-455.387154,108,13.475921
-303.812334,87,13.746518
-78.047436,77,13.810939
-114.599831,101,13.890122
-388.679925,102,13.970726
-22.19629,123,14.073164
-63.400449,69,14.131757
-375.015626,83,14.203488
-41.686942,119,14.315586
-136.051217,108,14.402203
-55.758659,77,14.461276
-309.352745,158,14.79948
-469.640046,105,14.883047
-390.48234,138,14.994633
-383.77037,94,15.068091
-341.038907,107,15.15191
-127.064795,75,15.211982
-121.501217,84,15.284839
-217.889312,96,15.392681
-171.995689,131,15.511939
-172.654518,74,15.576544
-113.937942,117,15.889764
-85.687531,103,15.974029
-119.353078,68,16.030258
-173.235686,94,16.106594
-85.904985,78,16.170637
-60.435156,69,16.22655
-152.629353,62,16.277441
-129.826511,95,16.358554
-84.874473,126,16.473479
-100.317351,117,16.570378
-100.672932,81,16.636339
-346.794755,105,16.93033
-85.014168,72,16.987667
6.230447,155,17.118766
-42.032286,81,17.186146
-162.86132,115,17.280471
-191.671488,113,17.374001
-122.683981,104,17.466935
-305.477794,95,17.54581
-276.719416,124,17.645996
-148.803175,106,17.730404
-396.143055,112,18.027852
-139.028547,81,18.090904
-117.751076,76,18.152745
-155.774473,93,18.227572
-162.827953,92,18.299307
-253.287196,100,18.383775
-39.929676,63,18.436295
-237.201731,112,18.540762
-63.386182,78,18.603586
-90.500304,76,18.66541
-82.774407,75,18.726938
-268.000611,98,19.019262
-209.093286,147,19.139858
-275.196163,111,19.239542
-96.872978,68,19.299375
-64.571131,66,19.358837
-258.390005,106,19.454208
-234.328184,96,19.537739
-312.017224,148,19.675107
-228.252843,106,19.759823
-307.546498,98,19.836033
-76.468447,118,20.135902
-309.528546,105,20.218426
-149.050861,124,20.317799
-59.393796,87,20.38996
-217.241162,86,20.460823
-369.416635,195,20.638911
-335.642322,88,20.729209
-184.07648,106,20.838025
-59.792875,95,20.934217
-467.282701,107,21.255657
-374.931516,112,21.348008
-166.039765,105,21.433918
-277.707891,121,21.534306
-119.672068,108,21.623171
-417.228426,125,21.73965
-109.819886,106,21.839183
-39.047084,72,21.902918
-100.557011,116,22.008489
-133.087505,83,22.079041
-141.434868,91,22.380217
-114.874283,108,22.473686
-147.293763,74,22.535853
-331.415289,132,22.646789
-158.371075,140,22.758805
-413.485194,104,22.847804
-98.82472,94,22.92709
-88.919027,88,22.99932
-118.936661,83,23.07082
-280.700369,96,23.154036
-196.899395,92,23.438355
-363.13856,84,23.503394
-79.482415,117,23.595947
-91.207775,124,23.694829
-200.613256,122,23.791665
-451.987187,100,23.878932
-103.680507,74,23.935961
-257.618632,108,24.021145
-316.056555,111,24.108428
-97.371572,93,24.181351
-150.383936,110,24.470972
-134.268048,125,24.569
-277.356774,125,24.668276
-140.222741,120,24.764361
-101.554294,108,24.857883
-95.885378,74,24.915468
-176.088647,120,25.011506
-148.506096,80,25.075873
-191.524279,112,25.165639
-364.972563,109,25.255874
-292.99042,132,25.573106
-88.833482,138,25.681782
-346.325464,100,25.759466
-124.47933,69,25.818213
-242.600424,103,25.907204
-172.59149,95,25.981013
-302.485456,94,26.056484
-258.063929,122,26.155971
-158.87106,114,26.24626
-243.284901,149,26.570174
-296.305315,106,26.653622
-67.91799,161,26.783914
-62.808387,185,26.943546
-511.046714,147,27.06244
-226.461738,113,27.153303
-266.018227,92,27.226684
-201.186822,124,27.32348
-183.295056,76,27.599277
-22.731197,176,27.742913
-86.842417,135,27.854726
-262.198409,96,27.938732
-90.034645,128,28.040303
-278.951833,84,28.109938
-61.713959,79,28.174222
-301.072575,177,28.319296
-238.475325,92,28.599099
-85.693789,67,28.650623
-218.546788,130,28.755158
-402.985467,115,28.84712
-96.001262,121,28.951701
-129.960832,158,29.085615
-86.001272,103,29.167827
