No,New Label Name,Label Description
1,Unrelated,Posts marked with unrelated will be dropped
2,Suboptimal Replay Buffer Design,"The design of the replay buffer inhibits learning, for instance using a circular buffer instead of prioritized experience replay buffer. This can be used to solve problems such as catastrophic forgeting"
3,Missing reset/close environment,"""It includes problems related to missing or bad termination (and restarting) of each round of agent interaction with its environment. At the end of each episode, the environment must be properly closed or reset to its default configurations for the next episodes. Actually, execution of the next episode and correctness of state sequences depend on the successful termination of the previous episode. Wrongly positioned API call for resetting environment is an example of this type of faults.
"" [1]"
4,Suboptimal Reward Function,Changing the reward function could lead to better performance. For e.g - better convergence
5,Unnecessary reward normalisation,Reward normalization doesn’t lead to performance improvement
6,Wrapping reward after observation normalization,The reward is wrapped before it is normalized.  The observations are normalized before the reward wrapping process
7,Misconfiguration of the agent to a stochastic inference,"The trained policy is not set to deterministic during inference time, even though it should be"
8,Missing check for dones,"The RL algorithm doesn't check for `done`. This check is needed in various RL algorithm, especially while computing returns
The done variable tells whether an episode has been completed. As per gymnasium farama foundation, a done variable can be true when an episode has been completed, the time limit has been exceeded or an invalid state was encountered by the simulator [5]"
9,Missing reward normalisation/scaling,Rewards weren't normalized or scaled. The absence of normalization affects the learning process with neural networks
10,Potential of terminal step not fixed to zero,"Reward shaping is described as providing separate rewards from what is given by the MDP, in order to modify the learning procedure [3]. It typically is in the form of a function. Now, Potential based reward shaping falls under this umbrella wherein the shaping function is - 

F(s,s') = \gamma*\phi(s') - \phi(s)
This function has the following guarantee that the optimal policy will be obtained if all state-action pairs get sampled infinitely [3]. Over here \phi is the potential function and the potential of a state s is denoted by \phi(s) 

According to this post, in cases wherein the length of episodes are variable, not setting the final state potential to 0 might lead to not arriving at the optimal policy.

Potential of the terminal state is allowed to be non-zero (affects the optmal policy). The concept of potential is used in reward shaping. This is a nice link to understand the process - 
 https://gibberblot.github.io/rl-notes/single-agent/reward-shaping.html"
11,Suboptimal network update frequency,"""Problems related to suboptimal update frequency of networks’ parameters (including the target network)
  leading to unstable learning and increasing loss value are categorized in this
  group."" [1]"
12,Suboptimal exploration rate,"""This tag covers problems related to suboptimal exploration
  parameters (e.g., epsilon in epsilon-greedy method) or suboptimal decay rate
  that leads to poor performance of the algorithm."" [1]"
13,Suboptimal learning_start,"The learning_start parameter refers to when the algorithm starts learning. If this is incorrect (not suboptimal), the algorithm will never learn and the agent will perform random actions."
14,Biased target network,The target network is not completely independent of the online network and shares some parameters
15,Flags indicating successful termination or timeout not set properly,Ending the episode at the wrong time
16,Not enough episodes/iterations (training),Number of training episodes or iterations in DRL or conventional RL respectively wasn't enough/time_steps
17,Suboptimal / Missing normalisaton of observations,The observations weren't normalized affecting the performance of the RL neural network or the existing observation normalisation scheme does not lead to the optimal performance
18,Deep Learning Fault,Any problem related to Deep Learning
19,Non-random starting state,Starting at the same state during training causes poor performance. 
20,Wrong network update / Wrong update rule,"""Each network or set of parameters (like
  Q and target network in DQN or policy and value networks in policy gradient
  algorithms) must be properly updated based on new values or recent observations.
 Examples are update the wrong network, wrong update statement and
 missing the update statement(s)."" or ""A new experience from the environment should be
  incorporated into the existing experiences by an update rule."" [1]"
21,Non-stochastic policy,"The AIRL algorithm, during training, requires a stochastic policy and not a deterministic one"
22,Use of variable horizon in environment where fixed horizon is more appropriate,Training on tasks that have a varying number of time steps
23,Reward Scale,The reward scale needs to be reduced. Ideally the mean should be 0
24,Reward function not defined for entire range of behaviour,The reward doesn’t encompass various scenarios the agent might experience
25,Missing policy-gradient clipping,Missing gradient clipping leads to unstable agent behaviour and NaN probabilities
26,Suboptimal observation space,Observations does not include all the important parameters. This affects the learning process and causes a dip in the performance.
27,Wrong Normalization of advantage,Normalizing the advantage for some algorithms (typically PPO) with just a single sample will result in NANs
28,Suboptimal Number of rollout steps,The number of steps to run for each environment per update.  The PPO algorithm alternates between 2 stages - the rollout and the learning stage as explained here. The rollout phase involves letting the agent take actions in the environment based on its current network parameters. The action can take a certain number of steps (N) for each environment (M). The product of N and M is referred to as n_steps. 
29,Suboptimal Action Space,"The action space makes it difficult for the agent to learn. Typically, it makes it hard for the agent to discriminate between different tasks."
30,Suboptimal observation normalisation,The existing observation normalisation scheme does not lead to the optimal performance
31,Missing action normalisation,Actions haven't been normalized. This bug was specifically described by a ICLR paper.
32,Suboptimal sampling from replay buffer,"The sampling process in the buffer causes a dip in performance, for instance, not doing random sampling"
33,Wrong update rule,"""A new experience from the environment should be
  incorporated into the existing experiences by an update rule."""
