ID,(File + Line No.)/Excerpt,Label
GH 2.1,arena_navigation/arena_local_planner/learning_based/arena_local_planner_drl/configs/hyperparameters/default.json 18,Suboptimal Reward Function
GH 2.2,-,Missing reset/close environment
GH 4,highway_env/envs/highway_env.py 44,Suboptimal Reward Function
GH 5,safe_control_gym/envs/gym_control/cartpole.py 590,Suboptimal Reward Function
GH 7,"""When we create a reward, the system differentiates whether it is summer season or not. To do so, it uses a year to set the date. The point is that we could have environments in which an episode duration is more than one year. In that case, the summer period would not be set correctly.""",Suboptimal Reward Function
GH 17,src/imitation/scripts/expert_demos.py 166,Unnecessary reward normalisation
GH 18,src/imitation/scripts/expert_demos.py 106,Wrapping reward before normalization
GH 19,docs/modules/sac.rst 85,Selecting a non-deterministic trained policy
GH 22,src/imitation/algorithms/mce_irl.py 360,Missing check for dones
GH 24,train.py 282,Missing reward normalisation
GH 28,"""Makes RewardNetShaped and subclasses set next potential to be fixed to zero when the episode terminates. 0 is required in the undiscounted case for convergence guarantees (where it can be chosen WLOG).""",Pontential of terminal step not fixed to zero
GH 32,"""the learning in your case fail for a very special reason:
 learning_starts and target_update_interval are above each budget total_timesteps for individual call for .learn() so you agent is just behaving randomly and never updating the target network (and because reset_num_timesteps=True).""",Suboptimal network update frequency
GH 34,"""the learning in your case fail for a very special reason:
 learning_starts and target_update_interval are above each budget total_timesteps for individual call for .learn() so you agent is just behaving randomly and never updating the target network (and because reset_num_timesteps=True).""",Incorrect learning_start
GH 36,"""Fixes the issue that the feature extractor was shared between network and target.""",Biased target network
GH 38,"""When sampling HER transitions, the SB3 implementation calculates a new reward but not a new done flag.
 The idea of HER is to sample successful goal transitions by replacing the desired goal with actually achieved goals in the episode.""",Incorrect done flag
GH 42,"""Adds a flag terminal to Trajectory indicating if the trajectory contains the terminal state of an episode. h/t @ejnnr for the idea.
 """,Incorrect done flag
GH 43,"""The previous implementation allowed a non-zero potential for terminal states. If episodes are variable-length, this can change the optimal policy. """,Pontential of terminal step not fixed to zero
GH 45,"""Fixes incorrect gamma in reward normalization wrapper for non-default gamma's. See #203.
 """,Discount Factor
GH 49,"""Doubled cartpole training timesteps, because that's how long it took to
 get to expert.""",Not enough episodes/iterations (training)
GH 50,stable_baselines3/common/vec_env/vec_normalize.py 130,Missing normalisaton of observations
GH 53,"""Add replay buffer to AIRLTrainer. """,Suboptimal Replay Buffer Design
GH 55,social_dilemmas/envs/map_env.py 141,Suboptimal Reward Function
GH 57,"""Improve the RL learning process by selecting random start point for the agent, it can help to block the agent to only learn on the selected period of time, while improving the quality of the model.""",Non random start point
GH 58,"""You're right, the lanes were initially much shorter (when has_arrived() was written) and have been lengthened since, for visual appearance. Thanks for the notice!""",Suboptimal Environment Dynamics
GH 60,"""Adding a RunningNorm layer to explicitly normalize the MLP output.""",Missing reward normalisation
GH 61,"""Fixes IID RL should sample new tasks after each episode #81:""",Replay Buffer Design
GH 62,"""
 Hello,
 You probably need to call env.close() at the end (cf. issues on the gym repo).
 """,Missing reset/close environment
GH 63,"""In SAC, when updating the Q-values:
should be (entropy term also conditioned by termination):""",Wrong network update
GH 65,"""According to an experiment realized by @manjavacas, the comfort violation rates and reward comfort penalties do not correspond correctly to the internal building temperatures versus the established comfort intervals.
 """,Suboptimal Reward Function
GH 67,"""More fundamentally, AIRL needs a stochastic policy. In principle one could have an on-policy algorithm with deterministic policy, or an off-policy algorithm with stochastic policy, but currently in SB3 it seems all on-policy algos have stochastic policies and all off-policy algos have deterministic policies.""",Non stochastic policy for AIRL
GH 68,"""Variable horizon tasks cause all sorts of problems as discussed in #324 and elsewhere. This PR raises ValueError if it detects a variable horizon environment while training AdversarialTrainer or PreferenceComparison.""",Training on variable horizon tasks
GH 69,"""The current implementation of AdversarialTrainer only normalizes the obs component, not the next_obs component.
 
 Our base reward networks don't use next_obs by default, so this is not as bad as it seems, but we do use it for potential shaping. This is problematic since this inconsistent normalization makes it no longer be potential shaping, and does actually change the optimal policy.""",Missing normalisaton of observations
GH 70,"""imitation.adversarial.trainer never applied VecNormalize to rewards or observations during PPO2 training. This means that before this patch, PPO2 for the
 GAN's generator was training with an unnormalized reward.""",Reward Scale
GH 71,"""As an example of why this is bad, we have a dozen or so runs showing that training an expert in PPO2+MountainCar achieves minimum episode reward when observations are not normalized.
 """,Missing normalisaton of observations
GH 72,"""add a new config ""reward_speed_range"" to HighwayEnv to configure the speed range for the reward (see #109)"" =>
 
 ""The high-speed reward maps linearly from 0 at 20 m/s to 1 at 30 m/s and saturates both for lower and higher speeds. I understand that this comes from the MDPVehicle that only selects a speed between 20 and 30 m/s. However, continuous control allows speeds between -40 m/s and +40 m/s.""",Suboptimal reward mapping
GH 73,"""Update reward function to a better example that is a delta of reward and scaled reasonably. Fixes issue [Question] Reward calculation in example agent #83.""",Suboptimal Reward Function
GH 73,"""Set default example agent to inference on non-deterministic mode. Agents often get stuck when set to deterministic in inference.""",Misconfiguration of the agent to a deterministic inference
GH 75,"""Without gradient clipping the PolicyGradient agent was unstable, occasionally resulting in NaN probabilities.
 """,Missing gradient clipping
GH 77,"""Currently PointMaze observations is just the position of the particle (in Cartesian coordinates).
 
 This makes the environment highly non-Markovian, and leads to even expert policies looking rather jagged: they keep accelerating towards the particle, overshooting, and correcting winding up in SHM-like motion.""",Suboptimal observation design
GH 81,"""After tracking nans for a while, I found that it originated in line 196 of ppo/ppo.py, when doing advantages.std()
 This is because rollout_data has length 1 and the computation of the std fails.""",Normalizing with a single sample
GH 88,"""Ent bonus for AIRL was wrong because the observation input to gen_policy.action_probability() needed to be normalized but was not.
 """,Missing normalisaton of observations
GH 89,"""Increases the default n_steps collected by PPO to be consistent with the Pendulum-v0 example in the SB agent zoo (I found this made it much more stable).""",Suboptimal number of n_steps
GH 93,"""Adversarial training could fail if allow_variable_horizon=False even on fixed-horizon environments. The issue was that we use reset_num_timesteps=False when calling SB3's learn(), which has the side effect of not resetting the environment""",Missing reset/close environment
GH 95,"""fix the range of action space from -1 ~ 1 to 0 ~ 1 for the orthogonal manipulation of the agent.""",Suboptimal action space design
